date,platform,post_type,likes,comments,shares,reach,impressions
2024-01-01,LinkedIn,image,130,15,30,1500,2000
2024-01-02,Instagram,reel,340,45,80,4500,6000
2024-01-03,Twitter,text,80,10,25,900,1200
2024-01-04,LinkedIn,text,95,12,20,1100,1500
2024-01-05,Instagram,image,210,30,50,3000,4000
2024-01-06,Twitter,image,110,18,35,1300,1800
2024-01-07,LinkedIn,reel,180,22,45,2200,3000
2024-01-08,Instagram,text,150,20,40,2000,2700
2024-01-09,Twitter,reel,200,28,55,2500,3300
2024-01-10,LinkedIn,image,140,17,38,1800,2400
2024-01-05,Facebook,image,250,35,60,3500,4800
2024-01-06,Facebook,reel,420,55,90,5500,7200
2024-01-08,Facebook,text,180,25,45,2300,3100
2024-01-09,Facebook,image,310,40,70,4000,5500
2024-01-10,Facebook,reel,380,50,85,4800,6400